40,10,2,0.008872
40,20,2,0.015753
40,40,2,0.056946
40,80,2,0.277686
40,100,2,0.600357
40,120,2,0.789357
40,140,2,1.117118
40,160,2,1.621763
40,180,2,2.188562
40,200,2,3.271202
100,10,2,0.035354
100,20,2,0.071615
100,40,2,0.190459
100,80,2,0.826189
100,100,2,1.371974
100,120,2,2.058213
100,140,2,2.938135
100,160,2,3.809596
100,180,2,5.199258
100,200,2,6.498984
10,40,2,0.029249
20,40,2,0.037011
60,40,2,0.081694
80,40,2,0.113006
100,40,2,0.157988
120,40,2,0.209627
140,40,2,0.271036
160,40,2,0.346626
180,40,2,0.427480
200,40,2,0.545662
10,100,2,0.204290
20,100,2,0.297043
60,100,2,0.713368
80,100,2,0.950477
100,100,2,1.219006
120,100,2,1.518021
140,100,2,1.777595
160,100,2,2.016701
180,100,2,2.349278
200,100,2,2.658571
40,10,2,0.011036
40,20,2,0.058703
40,40,2,0.053853
40,80,2,0.243840
40,100,2,0.405615
40,120,2,0.635338
40,140,2,0.919538
40,160,2,1.281025
40,180,2,1.723360
40,200,2,2.214615
100,10,2,0.027843
100,20,2,0.049999
100,40,2,0.240040
100,80,2,0.620420
100,100,2,1.032686
100,120,2,1.711904
100,140,2,2.314209
100,160,2,3.115258
100,180,2,4.172426
100,200,2,5.593403
10,40,2,0.025407
20,40,2,0.034991
60,40,2,0.074877
80,40,2,0.103181
100,40,2,0.135802
120,40,2,0.181688
140,40,2,0.242830
160,40,2,0.308699
180,40,2,0.384241
200,40,2,0.488007
10,100,2,0.181470
20,100,2,0.250001
60,100,2,0.610214
80,100,2,0.830543
100,100,2,1.104309
120,100,2,1.245598
140,100,2,1.478261
160,100,2,1.712181
180,100,2,2.074640
200,100,2,2.390526
